Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Customer feedback examples
positive,looks branded,18,7,"it looks like a branded one,looks like a branded one,look like branded,expensive and branded look,gives look of a branded accessory but one negative point is its very heavy"
positive,stylish bag,578,113,"super stylish bag also material is very good without any doubt go for it,go for it guys really really amazing bag and stylish,the bag is good in quality - stylish and elegant in look,awesome bag its very stylish i liked it very much,i order two of these bag both are super quality and stylish"
positive,bag is smooth,30,9,"this is a very comfortable and easy bag that has low maintenance and is convenient to carry anywhere,I am still using this bag its very nice and comfortable,the material of the bag is so smooth,even the middle age feels comfortable as the bag is not heavy,material and making of the bag are very smooth and satisfactory"
positive,inner material quality,28,11,"quality of inner material is also too good,great product even the inner material is also good,this product is a made from very good material it is very pretty,excellent product vey good material of this product,the inside material is also of fine quality"
positive,good compact,143,34,"looks especially gorgeous when held rather than hung over the shoulders cause it gets unique compact looking shape,cant take too many things in it but very compact for a simple person,compact in size like the quality of material good quality product,its very compact to carry and of high - quality make has very good thickness and looks very charming when she is carrying it,it really compact and can hold almost every necessary item at the same time being comfortable"
positive,awesome combo,31,11,"this is an amazing combo set,its really awesome combo of three,as it is a combo,a very good deal of combo,pair of three looks awesome together"
negative,close the bag,31,5,"the bag is not closed and poor finish,website description said the bigger bag had zips which fully close the bag but it was not fully closing the bag,bag doesnt closed fully from both side,which dont close the total bag,it is open zip not close the bag"
negative,looks like already used,97,31,"it seems that it has already used by some one,it looks like it was already used so im returning it,it is looking as though someone is used it already,it is looking like someone already used it,it exposing looks like some one has already used"
negative,stitching is torn,178,64,"the stitching is torn and there is a opening in the layer,material bakwas and at stitched places material is torn,it has a torn cut at the back and the strap is also torn from both the sides,one bag is torn the stitches is also torn loose,material is torn in some places below the buckles"
positive,water proof,33,5,"the jute material is thick and sturdy with a waterproof lining,they are waterproof and thick and no worry about their stitching are so strong,very spacious waterproof color is great and very sturdy can carry quite a weight,material of inside the bag is used good quality and also it is 80 % water proof,from my side the bag from outside is waterproof"
positive,good design,651,116,"made up of good quality and good design,i really must to say the design is decent,the quality and design of this product is very good,but due to excellent design this product is catchy,same as shown in the picture nice quality and design"
positive,steal deal,23,3,"bun it in 699 is a steal deal,a steal deal at this price,for the price its a steal deal,it was extremely spacious and pretty although i am a bit concerned about the amount of weight it can carry but overall its a steal deal,for 299 it was a steal deal"
negative,no shoulder belt,29,9,"there were no shoulder belt and security tag is with it,also there is no shoulder belt,there is no belt no accessories,there is no shoulder belt,there is no shoulder belt"
negative,not leather,403,109,"different color of the item sent and it is not leather,product advertised as leather but material used is not leather,this is not leather product this is pu product,neither the material is felt type nor leather,material is like that not leather at all"
negative,stitching is coming,353,114,"stitches from all side is coming out even 1 of those is missing,the stitch of the front panel is coming off,it has got patches and there is a stitching problem too,the stitches on the seam at the base has come off,the stitches have come out and in some sides the stickers have completely come out"
negative,fungus build up on the bag,27,5,"these is a fungus build up on the product,there is a part of the bag that caught fungus,its damaged has spot lines fungus and line all over,white powder type fungus is there in parts of purse,some products have fungus build up and it doesnt look like new one"
positive,material and finish,26,7,"materials finishing is very good with gorgeous look,i love the build quality and material finish of the product,it has very good quality material and finishing,good product material n finishing is really good,i like the finishing of the products"
negative,not enough pockets,56,24,"dont have proper pockets and pictorial wise it is not giving clear idea about the product,no finishing at all no enough pockets inside looks like a thela,even side pockets are not able to kept mobile,not fit and also needed inner pockets,i dont like this it doesnt contain pockets"
negative,rusted product,76,23,"the product has rust all over it with some stains around the back for a new product this is unacceptable,its rusted and torn parts doesnt match the image of the product,the material which is used is rusted,there are rust and marks on the items base metal polish is removed and looks like a second hand product,stained and rust on the product"
negative,dirt marks on product,197,55,"product is used and have lot of dirt on it,item has dirt on it and it is used it also has crease marks on it,dirt is also there as if its used / stored badly,dirt is on the product i need exchange,product delivered with dirt and stains hence returned"
negative,looks old,2185,529,"the product is very old and seems to be used,different from item ordered - the product also seems very old,item was damaged and look old at appearance as not sold for long time,different from item ordered brand issue item is damaged the item is old,item is old and its seems to used product"
negative,no pockets inside,463,207,"quality not good no separate space no inside pocket no inside compartment,it doesnt have pockets at all in any of these,theres not a single pocket in it nor it has compartments,the design is not as shown and also does not has any pocket inside,there was an inner pocket in the product image but the delivered product does not have that"
positive,zip quality,333,75,"quality is also very good even the zips are of good quality,would love it even more if it would have a zip,it is very beautiful and looks like the pictures zip quality is also very good,it is very beautiful and looks attractive like the pictures zip quality is also very good,product is very good in quality and zip quality also good"
positive,looks sober,17,3,"the color is amazing and the look is very sober,looks quite sober and the color is also very attractive,they are attractive and sober looking,the color is very sober and eye soothening,i like this one as the color is a bit sober"
positive,good storage,77,14,"very good product and same as seen in picture storage is also much,good to hold elegant design very classy good storage capacity,excellent choice for those who need that extra storage space,i contain good storage and material is so good for usage,it has a classy look and a storage capacity which is perfect for work life"
negative,one pocket,179,86,"only one pocket in purse i want to return,only one pocket present and articles not safe because only one pocket present,the products quality is very poor and moreover there is only one pocket in the main handbag,also main purse have only one pocket and its not enough for carrying different items,its not comfortable and also only one pocket is there in the handbag and no separate zips"
negative,stitching is not proper,2636,1043,"quality not good and also the stitch quality is not good,internal portion is also not good and bad stitch quality,material is not good and stitching and all coming out,stitches are not proper and also material is not good,stitching not good and color different and not quality material"
positive,carry a ml water bottle,16,1,"its spacious to carry a water bottle of up to ltr,it is big enough to hold a liter water bottle,spacious - can accommodate milton water water bottle too - matt finish double color quite attractive - for just rs,jute water bottle bag is very nice i liked,spacious enough to carry 600 ml water bottle snacks box small makeup kit and a book too"
negative,sling bag,115,21,"product picture and description says sling bag but what i have received is a handbag,also there was sling bag extension in the received bag,coz its written handbag and the pictures are showing of a sling bag,in description it says sling bag,i want to image picture hand bag and sling bag"
negative,button is not working,138,62,"dont look similar and have damaged button doesnt stick properly,its look like very poor in quality and magnate button is also not working,very bad buttons are damaged so this is useless this is second item which is damaged,bad quality and buttons not working,buttons in the hand bag are not good there is a damage"
negative,handle broke on the first day,30,9,"within second day of using it its handle broke,after 3 months of usage handle is broken from the screw,the handle literally tore up on first day use,its handle is broken only 2 days,its handles broke within no time"
negative,order not complete,40,13,"my order does not look that was see,it is not same as what we ordered,this was not same as my order,this is not the set which is ordered,different from the item ordered not as expected"
positive,nice backpack,22,,"its the cutest backpack you can ever get,overall nice to have backpack like this,otherwise very good quality and beautiful backpack,it is perfect for travel purposes a beautiful substitute for jhola or backpack,as a backpack its good"
negative,light color,340,80,"material is very light and black border is getting out itself,color is very light i returned imedetly because something messy,color is very light looks like pink rather than cream,color is very light rather than brown its a different color,the color also is very light and thus not at all suitable for daily use"
negative,quality is not worth,271,115,"looking not good and quality is not best,quality issue not a proper look like good,not as it aspected quality is not nice,quality is not good and not worth it with this prize nit satisfied,quality issue does no look good"
negative,zip is broken,898,253,"it has one zip broken and has one small hole,item receive is damaged few stripes are missing from the bas and the zip is torned,the product was different from image and the zip was broken,zip is broken n color was shaded,the zip at the back is broken"
positive,looks good in picture,304,83,"which was looking really good in the pictures so when it arrived,looks really good accurate with the picture here,good quality as same as shown in the picture just go for it,it looks same as shown in the picture with good quality,looks as good as it is in the picture"
positive,color spacious,29,5,"the color is so good also its very spacious,extremely good spacious color is nice n bright,very nice product really liked it very spacious n beautiful color,color is so classy n spacious also,good color spacious and elegant look"
negative,fake product,1665,379,"the product is definitely fake and not an original lavie,it was used product the condition was bad and totally fake product,the product sent is fake than what is shared pn website,tag lino perros is falling down it is fake a product,we ordered abeeza brand but we have received local fake brand"
negative,corner damaged,108,48,"the item is damaged from one corner,at the corner the item is damaged,the item is damaged in the corner,item is damaged from the corner,base part of corner is damaged"
positive,awsm bag,50,9,"all three bag are awsm,one must go for this bag,its an awsm bag,this was my the bag from baggit,a must have bag for all"
negative,dull color,1638,414,"it is very dull looking and not good at all,the product is completely dull colored compared to the image,it is very dull color which does not suits to me,color was very dull looks old one spot where color was totally gone i returned,dull color color is very dull looks dirty not suitable"
negative,inside damage,47,17,"it is damaged from inside and also not looking good,the item is damaged from inside,it is totally damaged from inside outside,it is damaged from inside,used product and damaged from inside"
positive,nice print,34,,"the print ad well as the quality is amazing as always,im a fan of this kind of print so ordered it,a very nice print and vibrant color that attracts your attention,the bag is so beautiful loved the print,material and print quality are excellent"
positive,comfortable and spacious,44,10,"overall the product is spacious yet not too bulky in size satisfied,good quality spacious yet not too big and lovely color,good look comfortable spacious and good quality,liked the pattern its spacious and comfortable,same as the picture its size is very comfortable to use"
positive,peach color,15,1,"the peach color is very beautiful and looks very elegant,i love you so much dear mishma nice peach color,go for it if you are really in love with peach color otherwise go for black one looks much classy,i love the color its light cream with peach color,the plum color is stunning and classy go for it"
negative,color is also different from picture,95,32,"the color is also different from the image shown,color is also different from the image,the color also differs from the image at display,color is also not same as shown in the picture,also color is not bright as much shown in picture"
negative,looks like old stock,208,44,"it seems like either very old stock or used product,product is looking like very old stock or used one,doesnt look new and looks like old stock someone has used,they have sent some old item from old stock,seems to be old stock or returned by some one"
negative,compartments inside the bag,681,242,"two compartments inside with a zippers compartment in the middle,i ordered for a extra pocket inside the bag but that pocket is not available,no pockets and compartments inside or outside,only single box in bag no any small box with chain available in bag,not even include a single pocket inside the purse and quality of the item was not to good"
negative,no extra compartments,38,20,"no inside separate compartments no lining attached just rexine stitched,not as excepted no extra compartments,no side pockets and secret pockets not there,there is no extra compartment no extra chains inside the bags,no additional pockets inside bagonly one zipper is present"
positive,beautiful shoulder bag,32,10,"you will truly love it as you can use it as shoulder bag hand bag etc,i liked the shoulder bag very much its the one i wanted,adorable shoulder bag handbag along with pouches,this shoulder bag is really awesome,amazing shoulder bag i love it"
negative,dirty product,1108,235,"product is dirty and it seems to be used,the product looks like it has been used it was dirty,the product is dirty and seems to be used,the product seem to be used and is dirty please see to this,it is dirty and some stains are there on the product"
negative,no zip,428,151,"no quality be it material or stitching or zip,not even a single inside zip in the big,not even one layer is there with zip,there is no zip on the inner side,not even a single zip is there"
negative,damaged packaging,120,58,"the product was damaged and outer packing were also damaged,both product and shipping box damaged received the order in damaged condition,damaged mrp tag missing hole on the item and its dirty too and the packing also damaged,both product and shipping box damaged damage product receive,product is in dirty and damaged condition during packing opened"
positive,bit expensive,22,5,"but cost little bit expensive which i feel,looks beautiful but i felt it is a bit priced,little bit expensive but the quality is also awesome,good quality a bit expensive,very classy but a bit expensive"
positive,chain quality,85,10,"the chain attached in this is of very good quality,the best part of it is the chain portion which is the actual attraction of the product,it is very good product the quality of materials very good the chains are properly worked,the chain is good the outer and inner materials are decent enough,the chain works properly and the capacity is also sufficient for daily purpose"
negative,no safety measures inside,54,26,"there is no blue color from inside as shown in photo and quality poor,inside also no have any safety partician,without tag without stitched cloth from inside,there is no spaces in inside,there is no cloth attached inside"
positive,nice shopping,43,9,"it is useful for going out for shopping,its just superb and must buy product when given discount,good quality ideal when you go shopping,useful for big shopping looks quite nice,ideal to take around while shopping seriously"
negative,product image,51,18,"pick up the product any how with any condition,please put the images of the real product,not as per product photograph,when i got to look at the product up close,so please pick up the product"
positive,liked alot,72,26,"i really liked alot,overall i liked alot,i really like it,i really like it,i really like it"
positive,laptop bag,42,5,"she loves the product her 13inch laptop fit in this bag and with multiple compartment all the necessary thinks and document fit in same bag,needed a tote bag for official use one which could carry a laptop,its an awesome laptop bag for women with lot of space / compartments to keep the stuff,its good for someone who needs a laptop bag,its a huge bag with a laptop holder section as well"
negative,scratch marks,171,53,"seems like used one with scratches at the corners,its having scratch on back side looks used,it is damaged and scratched in front,the threads are out and it has a scratch in the front,item has damaged / scratched material in the front"
negative,no match,80,28,"it is not good to take another,it does not suit me,its not good for me,did not get proper no,not suitable for me"
negative,doesn't suit me,1911,576,"its not useful for her and me also,i dont like it is not suitable for me,not useful for me and not looking good,its not compatible for me as i thought,so it is not useful for me"
negative,hole in bag,353,126,"there is a hole in the bag near the logo sign,also there is a hole at the bottom of the bag,there is a hole in the back side of the bag,there are some holes on the back side of the bag,there is a hole in the bag near the baggit logo"
negative,lock is not working,103,29,"looks very old and front lock is not working damage from bottom,the lock pin is not correct it is not fitting into it,seeing quality is not good and lock is also not good,the lock is not working properly and there remains a gap,the lock is not working or closing"
positive,pink color,23,7,"wow color its bright pink love at first sight,i chose the pink one and itz great,the pink looks good on ladies as well,it is a baby pink color looks so stylish with any outfit,pink looks really cute i am so happy"
negative,damaged or torn,125,60,"item is damaged and torned out at the bottom,one of the item is damaged and torn,item is damaged torn coz of that its looking used,torned and some damages in the item,the item received is damaged and torn"
negative,one compartment,229,92,"it has only one compartment with opening on both sides,there is only one compartment which is not compatible for me,there is only one compartment thats not my requirement,there is only one compartment so not able to fit other items in this product,it has only one compartment other has also only one compartment size is small and no any design"
negative,torn within days,111,25,"as soon as i started using within 30 minutes it got torn,it is broken in 1 - 2 days,started getting frayed and torn within a week of using it,it is broken in one day,as soon as i started using within half an hour it got torn"
negative,length is long,64,21,"length is very big or long,too long size and fit,length is too long than expected,it was too tall for my liking,its too long in size"
negative,available at rs,38,7,"in market it is of rs,take back one delivered and return rs 1224 / -,my received product costs is rs,it looks like 200 / 300 rs item,i have extra paid of rs"
negative,doesn't look like new,293,82,"it doesnt look new at all and the style too not as expected,i dont this is a new one or used one,it does not look like a new one,the item doesnot seems to be new,it doesnt look like a new product"
positive,build quality,128,36,"however she is happy with the quality of built,i love the build quality and material finish of the product,build quality is very good of the product,good build quality as well as material used,the built quality is awesome first i ordered"
positive,light weight good,163,22,"the best part is light weight and the space is good to put all and everything you need,its big light weight and comfortable i just love it must buy,amazing color and very light weight can accommodate lot of things,i loved it quality is good light weight lots of items fit,the first thing i would like to tell that its very light weight which is very helpful to carry out"
negative,screw is broken,27,10,"damaged and looks like the screw is broken,the screw is broken from the sling part,the handles side screw is broken,handle screw is broken and rusted,the screw was broken and loose"
negative,thin material,211,59,"material is very thin and unable to take much load,the quality is very low the material was so thin,this item very thin and delicate quality less item,no quality and material is very thin,the material is too thin and cant be used for day to day need"
negative,dirty and old product,334,97,"its old and wrinkled and used product that is received,product has stains and it is looking like a old product,plus the product looks old shabby and discolored at places,there are marks on the item and it reveal the sent item is either old or used product,product is different dirty and old from outer appearance"
negative,little damaged,178,69,"not up to the mark and little broken too,its little damage from upper side n too many dirty spots as if it is used one,item is having small damage in bottom,even the polish of the handles have come out n looks little rusty,at the base side there is small damage"
positive,good pockets,131,25,"liked it very nice just needed some pockets inside it,nice and very efficient with the number of pockets inside,so the big one is really good as it has pockets,i like the number of pockets both inside as well as outside,it is quite useful as it has many pockets as well"
negative,stiches are open,246,91,"its open from upper side items will spill from here,the stiches are open at some places,the base seam has come off and it is open,its kind of open on the sides on the top,in complete set i received when i opened it"
positive,well packed,57,10,"the item was very well packed and it was as described in the description,it is nicely packed not a since prblm came i love it,really loved it must buy 992 love the way it was packed,i had received my delivery well on time well packed unlike the product at first look,perfect size and classy well packed and as usual prompt delivery"
negative,leather is coming off,209,58,"the item is damaged and the leather is coming out,item description says its made up of genuine leather but its pu leather,the website clearly mentions that the material is leather,the skin of the leather is coming out,in description material is leather at time of receiving its fake leather"
negative,torn from many places,77,32,"item was torn badly from multiple places,item is damaged and torn in multiple places,item is totally torned and its the second time i am returningworst product ever,the top layer is torn into pieces,the product is dirty and torn from many sides"
negative,zipper stuck,95,40,"its torn inside and also there seems to be zipper issue,zipper is damaged at the time of delivery,there are 2 zippers in the picture,its says it has a zipper,the inner cloth is struck in zipper"
negative,color faded,719,222,"it looks fade and color different from bottom and upper side looks so faded,at side there is a damage and also color is fade from side,looks like its damaged and the color is faded in that place,lots of used marks and color is faded,seems like its been used and color faded"
negative,color is not pink,48,13,"color is not maroon as shown in picture,color is not pink at all,in picture it look black but it is not black,this color is not pink,color is not red or pink"
positive,carry mobile,19,2,"excellent product well designed specious enough to hold mobile wallet and other stuff,superb u can carry a mobile and it also have a money pocket inside,it has two compartments to hold mobile accessories as well,to carry mobile give small pocket in bag that is so nice,we can carry our mobile and little stuff but not too spacious as i thought color and product is good and as show in picture satisfied"
negative,bag has only one zip,189,73,"this hand bag is only one zip inside or out side no have a second zip,i cant imagine that that bag has only one zip,each bag is having only single zip and small one is not having zip,it has only one zip we want double zip bag,hand bag has only 1 single zip all over the bag"
positive,good packaging,354,67,"the product quality is very good the packaging was also very good,it is too good in quality and packaging is also good,also the packaging was done well so kudos for that,it is a good buy and very good packaging,its has very nice packaging and quality is very very good"
negative,fake baggit,31,4,"when is scanned the qr code given inside bag it turned out fake,product even baggit written seems fake,the handle is broke and the bag is fake,logo of baggit is fake,product looks a fake baggit purse"
negative,black stains on bag,551,188,"the bag has got black marks and spots on it,there are black marks on the bag and threads coming off,item having black color spots on bag on multiple places,there is a black stain on the side of the bag,the white bag is used and have so many black stains all over the bag"
positive,good heavy,33,11,"its a bit heavy other than that excellent buy,capable of taking heavy load as per its size,ya its really good but heavy weight and color also good,the quality is good just the thing is its heavy,product material was very good i like it it was a heavy material product good looking as well"
negative,want to replacement,38,9,"wants to return this item,wants to return the item for replacement different color received,wants to return quality issues,wants to return defective item,wants replacement for this product but with the same color"
positive,looks rich,94,23,"just go for it if you are looking for something class rich looks and nice quality,rich look stylish look and suitable for every outfit,its give me a rich look in this price,quality is good and heavy with rich look,gives you a very rich look"
negative,not genuine leather,165,50,"is not genuine leather although the description says leather,it was mentioned as leather but it is not genuine leather it is some other material it is not as it looked on screen,is no genuine leather as written in the description,tha leather is not smooth at all very rough and hard,it seems that it is used and fake product not pure leather but recived"
positive,good color,1950,422,"this comes in very beautiful color and it is very pretty,its really nice in color and is of good quality,its a good one and the color is also nice,the quality is so good and the color is amazing,looks good quality also good color is beautiful got it today"
negative,description says set,212,66,"that you have give in description,when will be it picked up,it was noticed when put to use,this is what i got,stiches have come out"
negative,zip is not working,1927,595,"it doest not look good on me and it doesnt have proper zip,it is torn and one of the zips are not working,zip is not working and item is not in good condition,torn at the zip and the zip is also nor working,this is torn and the zip is not working properly"
negative,small scratch on bag,17,8,"size is small front of the bag is scratch and dirty,also the bag had a small scuff mark on it for some reason,bag side had small hole seems like big scratch,there seems to be minor scratches on the top portion of the bag,there is a small scratch on the front side of the bag"
negative,lock is broken,76,25,"the lock is broken and one more part is broken,item got damaged its handle broken and lock nuts missing,lock is broken and also parts of the lock are missing,the lock is broken as i open it,there is no lock and the key is broken looks used"
positive,good to carry,198,33,"it is useful to carry so many things at a time and is also trendy just loved it,im a person who carries alot of stuff so this is pretty good for me,she like it and it is comfortable to carry anywhere,the design is nice and it good to carry,good to carry anywhere good in handling everything is perfect"
negative,waste of money,3228,903,"so iam returning it waste of money and waste of time,worst material waste of money and how many times requested for the return pickup,its waste of spending on it but of returned,it was not shown at all as it was very poor quality it wasted both our time and money,dont buy this item poor latter no pickup for return item bad behave delivery boy totally time or money wasted"
negative,not match the style,1073,474,"not in proper condition and does not look good,its not looking good will by different one,does not look good as it should be,does not look same and also dont look good,u did not deliver the right thing"
negative,doesn't fulfill my requirement,328,110,"it does not meet my needs at all,dose not look good on me n doesnt full fil my requirements,it is not correct as per our requirement,does not meet the needs as required and not look good on me,it is not according to my requirement"
negative,color not good,3789,1225,"not looking good on me and color is not good,there is no comfy feeling and the color is not good too,i does not suites on me and color is not good,does not look good and the color is also different color,this is not good and color is also bad"
negative,color not shiny,241,83,"moreover this color is not even in the list,does not look good colour is not same,its not look good different color from the picture,its color is not good in real compared to image,its totally different from the photo given in description and also color doesnt match"
negative,can't hold on shoulders,33,9,"doesnt stay on shoulder if it aint sturdy and solid,not possible to wear to shoulders,not able to place on the shoulder,i can not hang it on my shoulder,no comfortable after putting it on shoulder"
negative,chain is not working,489,155,"the chain are nor working and it is damaged from ends,the item was damaged the chain was not working,return initiated as chain of hang bag not not working,item has a cut on the side and the chain is not running smoothly,chain not working smelly not a quality product third class"
negative,finishing is not good,872,317,"quality is not good and also finishing is not good,items are not matching to requirements and finishing is not good,it is different from display and finishing is not good,not at all good quality and also poor finishing of the product,its not good in looking wise and not good finishing"
negative,handle screw,33,17,"the handle screw get broken after a single use,handle screw is being loose,handle screw has been removed,handle screw is already broken out,handle screw is damaged o"
negative,broken strap,464,179,"item is damaged as its torn in front portion and the strap was also damaged with the clip broken,it has a torn cut at the back and the strap is also torn from both the sides,the product is dirty and seems used as well as the strap is broken,wish i could send a photo it is broken from its strap,strap is damage and looking like a used one"
positive,bought it on sale,14,4,"i bought it during sale,bought it during sale,bought it on sale for 749,i have bought it in sale at just 210 / -,got it for 719 / - during sale"
negative,good as pic,211,87,"dose not look the quality it shows in the pic,not look like the pic n quality is not good,quality not matched as shown at pics and as described,quality not good as per showing on pics,doesnt look good like in the pics and quality too bad"
negative,strap is coming off,60,28,"the shoulder strap is coming off at one place,strap is coming off again and again,product has strap marks on the body,strap coming out from a side,the strap is coming out"
positive,look wise,183,41,"look wise very good eye catching attractive,it is very good look wise and quality wise,look wise its good and no damage too,good quality and look wise also very good,look wise also very good"
negative,bag is faded,61,29,"the belts of the bag are faded and seem to be used / old,bag seems to be old as its faded at various places,front side of this bag is color faded looks old i want to exchange another color,the flowers on the bag have a worn out look it looks faded,color of the bag is faded and there is scribbled on it"
positive,bag with enough space,137,24,"its a very good quality bag with lots of space,good quality and good looking bag with enough space in it,very pretty bag with a good amount of space,this is a handy bag which have more space,i loved the bag as it has a lot of space"
negative,torn from inside,182,65,"need replacement as this is found torn from inside,i used today and found torn from inside,inside layer is not attached and inside cloth was torn,stitching is not there inside and it is also torn from inside,it is tore inside and damage"
positive,looks professional,25,3,"n it gives a very nice professional look,gives a very attractive and professional look,it gives a professional look,so much professional look lovely,gives u very professional look"
negative,zip not covered,46,15,"the bag received doest gave front zips as in image,the zip you provided is not covering whole bag,zip not covered fully inside so it is not secure for me,zip doesnt cover cmplt upper part of bag things inside may fall,inside no self zip not fully covered"
negative,chain quality,284,95,"there is only one chain and not interested,there is shown chain in rd bag,under chain is nathing so return,defaulf found in chain and material used,even after closing chain there remains gap through which material inside chain can come outside"
positive,looks good from outside,116,52,"this is just looking good from outside,outside material is also very good,impressive to look when going out side,the design outside is so appealing,it looks good from outside"
negative,stitching is damaged,260,85,"it is damaged from back side and from inside its stitching is done badly,item is slanting and damaged in stitching,the material is going to break from the places of stitches,item is damaged and stitching was broken,item is damaged from the stitched area"
positive,quality looks space,32,9,"go for it if u looking fot style and space,space utilization is great and perfect for travelling purposes,very good bag by quality looks space material deserving more than five star,quality n space both are perfect,it has huge space inside it name it"
positive,favourite bag,32,5,"this has to be my favourite bag so far,really it become one of my favorite bag,my favorite bag over all 5 / 5 for the bag,this is my all time favourite bag,the best buddy in my life i absolutely loooove this bag"
positive,liked the color grey,14,5,"its as described and i loved the color grey,honestly the other color was also nice i had ordered grey,the design on the bag looks classy and the color grey is amazing,unique grey color very good quality and perfect size for office as well as outing,i loved the bag and its beautiful grey"
positive,product description,102,26,"the product matches to what was shown in the picture,the product is also match the product picture in the website,the product was as such in the picture,the same product which is looking in picture,you can go for this product"
negative,belt is short,58,15,"item is heavy to carry and has short shoulder belts,even the size of the bag is small the sling is short,the belt length of the sling is short for my height,its hanging belt is very short,size is small and sling is very short and too tight to open please take it back"
negative,rubber smell,35,17,"the batch where brand is written is completely different the tag is hung with rubber,item received damaged and strong rubber smelling,the material is like a rubber sheet and has some smell,i thought that it was leather but it was rubber and it is sticking and its not a good product,material mentioned in the product description is leather but the product received is made of rubber"
positive,looks fancy,33,12,"fashionable and look really nice,very nice and elegant at this range,really very fancy and fabulous,very nice looks fancy,its looking very fancy"
negative,bag is bent,27,14,"there are bent marks all over the bag please return ot,there is a crease where the bag is bended,this time i got a bag which has a bent on front,the bag is bent and is leaving a line like mark on it,one side of the purse has been bent"
positive,easy to clean,36,5,"it was easy to wipe them if with a wet cloth,good product at affordable price and easy to carry and easy to wash,looks good spacious easy to handle and easy to clean like the belt makes it convenient,it is very good bags easy to wash had much space more item could be kept inside easy to carry in pocket,though they are overpriced but are handy easy to clean and sturdy"
negative,one zip,268,126,"it has only one zip also has gap on both the sides,its to large and it has only one zip,this is very small and size and only one zip,quality issue and have only one zip,size is so small and only one zip system is there"
negative,rough material,120,39,"it is dirty and rough on one side,it is very rough material,very rough on the outer part,this part is coarse and rough,the material is very rough"
positive,weight to carry,19,7,"good looking quality also good but only complaint is a bit heavy weight,one of my favourite things in own the quality and weight is exceptional,it has too much weight to it,able to carry more weight,the bag is stylish and can definitely take lots of weight"
positive,easy to carry,363,68,"perfect one go for it very light easy to carry,i love it because its comfortable to use and its easy to carry,very much easier to carry and looks trendy while holding,keeping it as it looks cute and easy to carry,same is easy to carry during travelling for days with necessary accessories"
positive,no regrets,28,5,"you can go for this it wont disappoint,you will not be disappointed at all,you will have no regret,dont worry go for it,go for it without any doubts"
positive,bright color,99,23,"attracts attention with the bright color n style,very bright and awesome color and the material is very good,it is very cute with bright colors,the color is very bright and attractive,in the picture it is more vibrant looking"
negative,bed quality,185,63,"quality of item is very bed,the product quality is very bed,different product and quality is very bed,product quality is very bed,your service is very bed defetive pes"
positive,lightweight product,46,5,"it is very good very handy n very lightweight,very nice and stylish bag lightweight print is also beautiful,really lightweight but enough space to carry all essential,pros lightweight beautiful to look at simple and elegant design very spacious accurate to the description on website looks sturdy but yet to use,lightweight can hold ample am out of stuff"
positive,stylish and durable,37,8,"sturdy handy sleek classy and suitable for all occasions,there are three product at this rate which is also like a jackpot because all the three are stylish and durable,stylish look n may be durable also,looks stylish sturdy and above the mentioned price,is elegant and classy and durable"
positive,looks premium,134,37,"the quality is good with premium feel to it,or to gift them and tell them its premium stuff p,material is of premium quality and gives an overall vogue look,the material with which it is made is premium in hand feel,looks much more premium on the website than in real life"
negative,handle is coming off,51,16,"a button is coming off in the front of the handle,the handle have come off in one use,second their is spot on the knob / steel handle,the handle had come out when i received it,handle found turned when receiving"
positive,durability is good,73,22,"i cant say about durability but its cute,the product will work smooth and also increase durability,durability is good using same earlier too,very good and durability and also worth,quality and durability both are great"
negative,zip not fully covered,293,96,"this is not secured from in side zip its not closed completely,not safe to carry zip is not covered full mouth,there is no full zip it does not closes full,can not keep file and zip is not covering full bag,zip is not opening properly thus the return"
positive,looks stylish,1579,331,"its simply beautiful and gives a stylish and descent look,i loved this one it looks too stylish and fashionable,i just pic up this because they really attractive and stylish,the most i liked in this is the stylish look it gives,stylish curves on the top edges would appreciate the following 1"
positive,matte finish,27,8,"i liked the matte finish and the look of the bag,the zips quality is also good and it is a matte finish,quality of the material is ok and its with matt finish,awesome product with matte finish,matte finish quality so great"
positive,looks fresh,25,5,"as its a gift i need a fresh looking one,would really want to buy a fresh one,i would like this to be properly packed and receive a fresh copy,a fresh piece and not old stock at all,thank for handling it so well and giving my bag as fresh and new"
negative,chain is not there,69,23,"doesnt even look the same the chain isnt even the same like yuck,hanging belt is not proper and chain is also not there,there is no hook to hold the chain so exchange this,chain is not opening and its torn,the chain in the front side can not be opened as the two flaps ribbon are sticky with body"
positive,good style,206,56,"it was very good and the style was also awesome,also glamorous enough to add the style quotient,in this rate the quality and style is too good,very good quality nice style as per the picture,this is literally beautiful with a great style"
positive,using it for years,66,10,"i have been using this for quite some time now,i had used it for almost a year now and it still looks great,it has held strong for more than a year,am using it for more than an year and its quality is superb,its been years i am using it"
positive,spacious and lightweight,27,6,"looking wonderful spacious smart lightweight and what not just go for it,it is spacious and comfortable and lightweight and quality is good,very very spacious and lightweight,it is lightweight spacious lovely and good quality bag,size is comfortable neither too big nor too small"
negative,please dont purchase this bag,30,5,"kindly do not sell and send such bags please,i suggest not to buy this bag,i strongly not recommend for anyone to buy this bag,do not go for this bag,i recommend not to buy this bag"
negative,marks on product,106,41,"item has marks on it like its used,there is some marks on the product,there are marks on the product,there are some marks on the item,product is used and has marking on its"
