ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B08NYMRBYY,negative,zip not available,320,90,1,not having zip
B08S2TRL5L,negative,bag is torn,1721,552,4,"the bag i received is torn,one of the bag is torn,big bag is torn at the bottom,the bag has been torn"
B08T7BDMZM,negative,not enough pockets,56,24,1,not sufficient pockets
B09BND6XNK,negative,compartments inside the bag,681,242,1,no zips or compartments inside also quality not that good
B09DXC8HSL,negative,waste of money,3228,903,1,not at all good quality for the price paid
B09N3K2ZCP,negative,material is not good,6393,2458,250,"the material is not good at all,no compartments and not good quality material,material is very poor not at all as expected dont want such material,the quality of material is not good,material is not at all good"
B09PJMZ7XF,negative,doesn't suit me,1911,576,3,"not good at all,look wise not good,not worth it"
B0B18GGWX5,negative,chain is broken,417,140,1,chain is damage
B0B7BCZ67B,negative,stitching is not proper,2636,1043,3,"the base of the product isnt stitched properly,stitching is not good,bag stitches are not proper"
B0B7XL9PT3,negative,bad quality,6425,2142,3,"quality is not good,not the desired quality,unsatisfactory quality short size color changed"
B0B7XLF2JM,negative,not as shown in picture,13786,4341,3,"product not looking good,product is not good look,poor quality what i was expecting"
B07P66YQ3L,negative,chain is broken,417,140,3,"inside chain is broken,chain is broken,chains is low quality chains is damaged"
B083Y19MMJ,negative,thin material,211,59,1,very thin durability issue
B08S2TRL5L,negative,no inner lining,398,138,1,no sling and the quality is good
B09N3K2ZCP,negative,no safety measures inside,54,26,3,"inside material not up to the mark,inside no stitch clothe,there is no cover its made good only outer but not from inside"
B09N3K2ZCP,negative,not sturdy,481,148,8,"not at all good,not at all good,its not safe,not safe,no good"
B09N3K2ZCP,positive,color stylish,60,12,1,color is too awesome
B09PJMZ7XF,negative,material is not good,6393,2458,16,"material is no good,material is not good,bad quality of material,bad material quality,poor material quality"
B09VZ8GP4V,negative,strap size is small,231,104,1,the quality is very bad and the belts are too small
B0B18CN68L,negative,looks old,2185,529,1,product is old
B0B7XN8MJT,negative,material is not good,6393,2458,2,"material quality is poor and stretching is not good,poor quality material finishing not proper"
B0BTJ2THK3,negative,zip not available,320,90,1,size and zip are not available its very openly not secure items to be in this purse
B07P73CMNF,positive,excited for this product,232,64,1,excited
B083Y1F9B2,negative,not as shown in picture,13786,4341,2,"not looked like as per photo,product is not as shown in the picture"
B08T7BDMZM,negative,one compartment,229,92,2,"it has only one compartment,the bag quality and everything was very good but the bag have only one compartment"
B09DGP2H52,negative,color not shiny,241,83,1,color not good
B09HSCK9K5,negative,finishing is not good,872,317,1,small chain and not good finish product
B09N3K2ZCP,negative,not leather,403,109,4,"product has no internal cloth layer,this purse is not,bag material not,ok for teens but not an adult"
B09N3K2ZCP,positive,exactly what i wanted,32,12,1,as per price good product but i dont like it and also stitching no properly
B0B18GGWX5,negative,not match the style,1073,474,2,"does not look good,does not look good"
B0B18GGWX5,negative,used product,1192,381,1,used product received
B083XZK6RJ,positive,looks classic,40,15,1,overall its a classic product and i have great experience
B08NYMRBYY,negative,waste of money,3228,903,2,"quality is very bad comparison to prices,waste of money"
B08NYPH9FS,negative,no inner lining,398,138,1,it doesnt contain and chain pocket inside
B09N3K2ZCP,negative,color not shiny,241,83,4,"its not looking good for that color,color not looking good actually,color not good,color does not match size is too small"
B09N3K2ZCP,negative,zip not covered,46,15,3,"total bag zip is not covered,zip cover rejected,all bags are small and no safety zips"
B09PJMQ24C,negative,finishing is not good,872,317,3,"poor material quality looks different as shown in website and poor product finishing,very poor quality i dont expect,faded color and worst material quality"
B0B7XK74LM,negative,size issues,29856,9059,1,quality is not good as expect and purse is very small
B07CRJJC8M,negative,leather quality,869,295,3,"very bad quality of leather,worst quality of leather,leather quality very poor"
B07P66YQ3L,negative,finishing is not good,872,317,1,bad finish chain quality v bad
B07TTH6ZDX,negative,material is not good,6393,2458,1,the quality of material is not good
B083XZK6RJ,positive,excited for this product,232,64,1,just wow
B083Y19MMJ,negative,color not good,3789,1225,12,"quality not good and color also looks bad,color is changed with very poor quality of material,color is not good,color was not good,color not good"
B08NYPH9FS,negative,zip is broken,898,253,1,its zipper is damaged and it is little bit damaged from one corner
B09BND6XNK,negative,not as shown in picture,13786,4341,1,not like
B09DGP2H52,negative,zip is broken,898,253,1,zipper and strap are both damaged
B09DXC8HSL,negative,product doesn't look good,9218,3091,3,not good
B09N3K2ZCP,negative,threads coming,172,43,1,color is faded and threads are coming out
B09N3K2ZCP,negative,zip is broken,898,253,5,"item is damaged all zip and locks are damage,not good and damaged at zip,the zipper are also damaged,zip damaged and the product not good quality,damage or used product zipper is damaged or torn"
B09N3K2ZCP,positive,material quality,1919,484,5,"good material,color and fabric is good,the material quality and the stitching quality is very poor,in picture bag quality looks more good but actually is not that good bag,all bags are very beautiful and quality wise all bags are great at this price it is best"
B09VZ8GP4V,negative,not genuine,214,64,1,not perfect
B08T7BDMZM,negative,black stains on bag,551,188,1,apart from those the bag has big black spot too
B08T7BDMZM,negative,not comfortable,1451,603,11,"not feeling good to have it,it does not look good,does not good look,does not look good,does not look good"
B09HSCK9K5,negative,thin material,211,59,1,the quality is very low the material was so thin
B09N3K2ZCP,negative,button is not working,138,62,1,bad quality and buttons not working
B09N3LZYHF,negative,dull color,1638,414,3,"dull quality and color doesnt matches with each other,it is looking dull and cheap,gold plated design got dull looking as if already used bag"
B07P66YQ3L,negative,no zip,428,151,1,poor quality zip not there in one rack zip metals rusted
B0824QC1H4,positive,value for money,8601,2240,4,"very nice and worth for money,quality is good value for money,its a good product at this price though the quality isnt that superb its good for a daily use,good quality for this cost"
B082F4P1NK,negative,heavy weight product,1158,369,1,too large to carry on shoulder
B083Y1392Q,negative,zip not fully covered,293,96,1,big bag is not secure because zip is not covering full bag
B08NYMRBYY,negative,used product,1192,381,2,"looks like used product,one side of the handle is missing and it seems to be replaced or used product"
B08QL6VK6H,positive,material quality,1919,484,1,nice quality and material
B08S2TRL5L,negative,bad quality,6425,2142,33,"in 5 part one is missing and the quality is not good,it does not look good by quality,quality is not good not expect,what we see in site was looking nice but in reality quality wise not good at all,dint get what i expected very poor quality"
B08S2TRL5L,negative,zip is not working,1927,595,7,"zip not working properly n the other bag leather is scarhed slightly,zips are not proper,one to the zip is not working properly and the packing was so bad that two of the bag materials are ptron,screech produced zipper not work,zip failure"
B09N3K2ZCP,negative,narrow product,761,313,15,"very small and poor quality product pls return its request,it is very small,bad quality small size looks like a old waste products,so small,very small"
B07CRJJC8M,positive,good durable,851,187,1,bag is good as shown but the base size is big good for working people who can carry many things
B07P66YQ3L,negative,bad quality,6425,2142,19,"item quality is not good as shown in advertisement and quality is not good,quality is not good at all,quality is not at all good,it is not of good quality very sub standard,the quality is not good"
B083XZK6RJ,negative,compartments inside the bag,681,242,20,"worst worst worst their is only one zip in every bag and no pockets inside any bag,actually the color is not good and there is no compartments in the purse that s the main reason,no zip pockets in the purse which doesnt make it usable,no pockets in the purse,no storage section in purse"
B083Y19MMJ,negative,finishing is not good,872,317,1,finish is not good
B08NYMRBYY,negative,stitching is coming,353,114,1,stitches have come out
B08T7BDMZM,negative,chain is broken,417,140,2,"chain is broken and item looks like it is used,damaged / broken chain"
B08T7BDMZM,negative,received incomplete item,245,117,5,"damage and missing items,1 item missing,item missing,item missing"
B09HSCK9K5,negative,chain is not working,489,155,1,chain is open not suitable
B0B18CN68L,negative,cheap quality leather,279,125,1,the bag looks very cheap
B0B2K83BT3,negative,bad quality,6425,2142,11,"quality is not good at all,quality is not good,quality is not good,quality is not good,quality is not good"
B07P66YQ3L,positive,looks nice,6968,1539,3,nice
B083Y1392Q,negative,leather is torn,452,114,1,leather is broken
B09DGP2H52,negative,material is not good,6393,2458,7,"material quality is not good,very bad material quality,poor material quality,material is very poor,poor quality material"
B09HSCK9K5,negative,doesn't suit me,1911,576,4,"does not looking good for me,its not fargo,not like it,not suitable"
B09PJMM2XM,negative,doesn't suit me,1911,576,2,"not good at all,not good"
B09PJMQ24C,negative,looks like already used,97,31,1,already used someone
B0B7BCZ67B,negative,lock is not working,103,29,1,very bad quality and locks not opening
B07P66YQ3L,positive,nice small bag,149,34,1,only the small bag is usable without any defects
B083Y1CZCL,positive,value for money,8601,2240,2,"love the quality and affordable price,look so pretty and build quality so nice reasonable rates design is premium so im so happy go for it but it thanks"
B08T7BDMZM,positive,material quality,1919,484,2,"material looks nice,nice material arrived quickly"
B09G6VB6DP,negative,scratch marks,171,53,1,this item scratch and less in quantity
B09N3K2ZCP,negative,scratch marks,171,53,2,"also have scratches on it,scratch"
B09N3LZYHF,negative,not as per description,123,42,1,poor quality very open on top items will be falling down does not meet expectations
B0B18FMNG4,negative,didn't expect this size,526,205,1,size is too small what picture shows and what we got is different
B07P73CMNF,negative,color is different from pic,597,213,1,color wasnt method as per your picture
B07QV1V72M,positive,leather quality,910,167,1,leather is good
B0824QC1H4,negative,waste of money,3228,903,1,not at all worthy of the money i
B083XZK6RJ,negative,handle screw,33,17,1,screws came off and not fixable
B083Y1CZCL,negative,leather quality,869,295,3,"leather quality is not up to the mark,poor leather and useless,leather feels not good"
B08NYMRBYY,negative,dirty product,1108,235,4,"the item purchased is damaged and dirty,product is dirty,the product was different from the pic shown it was dirty and faded color was different as well and was old stock product,very dirty and cheap product"
B08NYPH9FS,negative,size issues,29856,9059,13,"this item is too small,the size was to small,these are not looking good as well as the size is also small,size is very small,sizes are too small"
B08T7BDMZM,positive,build quality,128,36,1,build quality material was very cheap
B09DGMKBYZ,positive,color as shown,432,122,1,the product quality color and look are as same as shown in the picture
B09G6VB6DP,negative,leather quality,869,295,3,"smelly leather quality is very poor and some side are color damaged,the leather quality is bad,leather quality not good"
B09N3K2ZCP,negative,doesn't look like new,293,82,6,"it doesnt look new,does not look at all fresh,material is ok but doesnt look new,it looks like an old item and not a new one,product have dirt all over doesnt seems like new"
B09N3LZYHF,negative,zip not fully covered,293,96,2,"zip not perfect,size is so small and zip area not cover full"
B07P66YQ3L,negative,hand bag,142,26,1,balance two items namely hand bag and hand clutch were not in the packet
B07QV1V72M,negative,fake product,1665,379,1,duplicate product
B083Y19MMJ,negative,not match the style,1073,474,2,"does not good looking,not looking good and zip is not closing fully"
B08NYMRBYY,negative,not as shown in picture,13786,4341,26,"not as it looks in images,not as shown in picture,not good as shown in image,its different from display,product is not same as showing in the image"
B0974S6R81,negative,thin material,211,59,1,material is very thin
B09DGMKBYZ,negative,old bag,695,185,1,bad and old items
B09N3LZYHF,negative,product doesn't look good,9218,3091,35,"it is not looking good,does not look good,not good for me,not looking good,its not good"
B09PJMZ7XF,negative,upset with this situation,99,39,2,"was very dissatisfied,totally disappointed"
B09VZ8GP4V,negative,damaged or torn,125,60,1,material is ripped at the corner
B09VZ8GP4V,negative,finishing is not good,872,317,1,totally bad quality
B0B7XN8MJT,negative,short straps,195,69,1,small bag is very small
B07Z2YP39B,negative,not as shown in picture,13786,4341,3,"not same as listed,it looks completely different than listed,different product found"
B083XZK6RJ,negative,one compartment,229,92,1,only one compartment
B083Y1392Q,negative,bag size is not comfortable,167,42,2,"bag is not like as showing on image very small and poor quality,large bag has no safety"
B09HSCK9K5,negative,color not good,3789,1225,2,"color combination is not good,color not match"
B09N3K2ZCP,negative,dust on product,192,32,2,"dirt on bag feel like used,dirt in the bag"
B09N3LZYHF,negative,not leather,403,109,2,"not in leather material,we are see that its leather is squeezed and size is very small and this is not a leather product the smell was bad"
B09N3LZYHF,negative,zip is not working,1927,595,5,"also zip is of no use as it does not reach the edges,bag zip is not safe,zip is not well,zipper not working properly,poor quality looks like second hand bag zipper not working"
B0B2K83BT3,negative,zip quality,1317,457,1,the main zip is not fully closable its half only its not safe so only am returning this
B07CRJJV1V,negative,fake product,1665,379,1,please send original product as you show in picture and same what i order
B07Z2YP39B,negative,black stains on bag,551,188,1,black stains on purse
B083Y19MMJ,negative,good as pic,211,87,1,its not like as shown in the pic
B08NYMRBYY,negative,short length,551,155,1,1 item short and chain problem
B08NYMRBYY,positive,material quality,1919,484,1,fabric is also good go for it
B09N3LZYHF,negative,good as pic,211,87,5,"it doesnt look that good as shown in the picture,not as shown in the pics,not good as in picture,it doesnt look as attractive as on the picture,product is not in good quality and it not seems as good as in the photo"
B0B188SMH3,negative,bag has only one zip,189,73,1,only one pocket available in purse
B0B7XG6JHL,negative,fake product,1665,379,1,does not seem to be original
B083Y1F9B2,negative,doesn't up to mark,1526,493,1,no
B09PJMZ7XF,negative,size is not suitable,859,302,3,"some issue not looking good and size also not good,size not fit and not good look,size not good"
B09VZ8GP4V,negative,zip is broken,898,253,2,"the zipper is torn,zipper is damaged"
B0B2K83BT3,negative,size is not suitable,859,302,1,not in proper size
B07P73CMNF,negative,color design,1103,288,1,the colors shown
B083XZK6RJ,negative,rubber smell,35,17,1,the material seems like poor quality melting rubber with a strong smell of rubber
B083XZK6RJ,negative,size issues,29856,9059,81,"quality is very poor and size is very small,its too small when we compared with image,poor quality and it is small in size,size is too small and color is different,poor quality tiny size and product color not like shown in picture"
B083Y1392Q,negative,color not good,3789,1225,15,"not look good on me color is not match ordered item,this product is very bad quality and color issue,color not matching and not good the product,not the color which i selected very poor quality,poor quality and no good color"
B083Y19MMJ,negative,product has stains,670,213,1,there are marks on the bag
B083Y19MMJ,positive,value for money,8601,2240,9,"not bad good one and value for money,n very low price quality material and,according to price its so good,the quality is really good for this price and the color is same as shown in the picture,value for money"
B083Y1F9B2,negative,product doesn't look good,9218,3091,5,"does not look good on me,not good,not nice,refuse to take it return"
B08T7BDMZM,negative,cheap quality leather,279,125,1,leather for this bag is very cheap quality
B09DGP2H52,negative,stitching is not proper,2636,1043,2,"not stitching properly,stitch quality"
B09N3K2ZCP,negative,light color,340,80,3,"color this product very light,the stitching is very light and may break easily,stuff is too light"
B09PJMM2XM,negative,strap is coming off,60,28,1,the straps and handle are damaged opened stitches on the strap plus item doesnt look like what in display photo
B09PJMZ7XF,negative,quality is not worth,271,115,2,"please return this item quality is not good,not worth the money"
B09PJMZ7XF,negative,waste of money,3228,903,2,"price tag missing,dont buy dont waste your money"
B07P73CMNF,negative,bad quality,6425,2142,11,"quality is not good at all,product was not as i expected it was not of the good quality,quality is not at alla good,quality is not good,not a good quality"
B083Y19MMJ,positive,looks nice,6968,1539,7,"but overall was nice,nice overall,it look nice but inside nothing only 1 sebe,nice,different shade from website but nice"
B08S2TRL5L,negative,thin material,211,59,1,quality is poor and very much thin material
B08T7BDMZM,negative,doesn't up to mark,1526,493,6,"not up to the mark as shown in images,not up to mark in looks,not up to mark,no"
B09DGMKBYZ,negative,color not same,903,280,2,"even the color is different from the one that i shown,color is not the same"
B09DXC8HSL,negative,bad quality,6425,2142,1,not at all good quality for the price paid
B09N3LZYHF,negative,torn from many places,77,32,1,front part is torn / oversized hole
B09N3LZYHF,positive,good texture,144,38,1,nice bag quality is good
B09XBF2ZJ8,negative,color not shiny,241,83,1,not like the color
B0B7XJBYVN,negative,not sturdy,481,148,1,stiches are not proper
B0B7XJHFXJ,negative,finishing is not good,872,317,1,no proper finishing
B07RPY7XTW,negative,zip is not working,1927,595,1,zip not working and sizing not good
B083XZK6RJ,negative,color faded,719,222,3,"this product is damaged and has color fade,color is fade want different color,stitching is poor and it will get wrinkled easily color faded within weeks"
B083XZK6RJ,negative,hook is broken,121,43,1,one hook case is torn
B08NYPH9FS,negative,compartments inside the bag,681,242,1,this purse not any zip pocket outside and inner side
B09N3LZYHF,negative,no safety,114,38,1,not another pocket in bag and no safe
B09PJMM2XM,negative,compartments inside the bag,681,242,2,"does noot have any pocket inside the bag,no inner lining in the bag"
B09PJMZ7XF,negative,short straps,195,69,2,"to short,to short"
B0B2K83BT3,negative,not genuine,214,64,2,"not good,not good"
B0B2K83BT3,negative,stitching is not proper,2636,1043,6,"the product has marks all over the bags and stitches are not adequate,poor material and poor stitch,stitches are not proper,it was dirty stitching was bad the pockets had been hand sewn,poor stitch quality"
B083XZK6RJ,negative,cut mark,244,85,4,"there is a 2 cm cut pierced through it,fiber is cutting in hand side,cut issues,found cut mark quality is very bad"
B083XZK6RJ,positive,good color,1950,422,3,"color and quality is also superb,superb color also good,everything is nice but the teddy is very small as compared to the picture otherwise everything is nice and is color is also good"
B08S2TRL5L,negative,zipper stuck,95,40,1,zipper damaged
B08T7BDMZM,negative,zip is not working,1927,595,8,"zip is not proper and the bags are not of a good quality compartment is very odd,items are not safe to carry in this bag main zip not closing complete,zip not comfortable for me,zip is not working,zips not working"
B0974S6R81,negative,waste of money,3228,903,1,such a waste of money
B09N3LZYHF,negative,leather is coming off,209,58,1,we are see that its leather is squeezed and size is very small and this is not a leather product the smell was bad
B0B7XL9PT3,negative,not match the style,1073,474,1,does not look good
B07P66YQ3L,negative,dull color,1638,414,3,"shining is very dull not as shows in the photo,its not like i thought its very dull and poor quality product,good product value for money but color of bag light dull compare to shown as"
B0824QC1H4,negative,bad smell,791,296,2,"belt missing and very bad quality with foul smell inside,poor quality and bad smell"
B0824QC1H4,negative,compartments inside the bag,681,242,1,no extra slots inside bags
B083XZVW14,negative,no pockets inside,463,207,1,no pockets and compartments inside or outside
B083Y1392Q,negative,not what i am looking for,65,21,2,"its not exactly as i am looking for,not looking"
B09HSCK9K5,positive,value for money,8601,2240,4,"great product value for money in the price,best purse at this price point,worth money,paisa vasool"
B09N3K2ZCP,positive,good condition,191,61,4,"i must say that the quality is very good and very much reliable,very good,good,size is little small but overall quality is good worth for the money paid"
B09VZ8GP4V,negative,bag is torn,1721,552,2,"bag is used and torned,the bag is torn"
B09VZ8GP4V,negative,threads coming,172,43,1,its quality is poor threads are coming out bags have foldable marks
B0B188SMH3,negative,hole in bag,353,126,1,there are holes in the bag
B07P73CMNF,negative,waste of money,3228,903,4,"it not so worth for money what was shown in picture was not delivered,no price tag on the product,absolute waste of money,waste of money"
B07TTH6ZDX,negative,bad quality,6425,2142,1,quality is not good
B083Y1CZCL,negative,finishing is not good,872,317,1,finishing of product not proper
B083Y1F9B2,negative,no chain,145,48,1,no chain
B08NYMRBYY,negative,good as pic,211,87,1,not goodaccording to pic
B08QL6VK6H,positive,light weight good,163,22,1,perfect in quality also its a light weighted bag
B08T7BDMZM,negative,bad smell,791,296,1,worse
B09966LHB7,negative,not as shown in picture,13786,4341,1,product did not seems match from website
B07P66YQ3L,negative,dirty product,1108,235,1,bags are dirty and material is soooo worst i dont like the product
B07QV1V72M,negative,waste of money,3228,903,2,"waste of money,money not coming"
B083Y1392Q,negative,color not same,903,280,3,"color does not match with the image,color is not same,display color and came item color is not same so i will return it as soon as possible"
B08T7BDMZM,negative,delicate material,41,15,1,carrying chain is too fragile
B09DGP2H52,negative,bag is torn,1721,552,1,the bag is torn from one end
B09N3LZYHF,negative,leather quality,869,295,5,"quality was not good at all and it is looking bad and the leather quality is very poor,leather is looking poor and not cleaned,material of leather is not good,worst quality of leather,low quality leather"
B09N3LZYHF,negative,local product,158,35,1,local quality h
B09PJMQ24C,negative,dirty and old product,334,97,5,"product is old you can see the pictures please,look like a old product,it look like old products,very old having marks,looking old material"
B09PJMQ24C,negative,no tag,303,103,3,"does not have a tag,no pocket no tag available,there is no tag or logo of fargo it is a cheap roadside bag"
B09VZ8GP4V,negative,purse design,168,68,1,the quality of the material doesnt look good as well as design is also not satisfactory
B0B7XJHFXJ,negative,product doesn't look good,9218,3091,4,"not good,not good,not good,not good"
B0B7XL9PT3,negative,color is different from pic,597,213,1,very poor quality and also color different delivery
B07P73CMNF,positive,material quality,1919,484,2,"good material,great material and great bag"
B07RPY7XTW,negative,zip quality,1317,457,1,quality is not good zip quality is too poor it got teared within 4 months
B083XZK6RJ,negative,faded from many areas,83,32,1,withered gone and one purse is not available
B083Y19MMJ,negative,chain is not working,489,155,1,tpurse is not having a proper diversion of chains
B083Y1CZCL,negative,used product,1192,381,1,the product seems to be used
B09DGMKBYZ,negative,looks like old stock,208,44,1,looking like old stock
B09DX9H63B,negative,didn't expect this size,526,205,1,size is very small and one piece is damaged
B09DXC8HSL,negative,size issues,29856,9059,3,"all combo items are too small,small size and product also low quality,weight wise very heavy bag"
B09N3K2ZCP,positive,good to carry,198,33,1,i felt it is good to carry but it is small in size
B09N3LZYHF,negative,size issues,29856,9059,66,"according to the website it is too smaller than the shown item,it looks too small compared to the product photo,the size of the item is small,not good at all worst quality and size also very small as compared to images sown,not the size as shown in picture too small"
B09PJMM2XM,negative,button is not working,138,62,3,"the decorated buttons are rusted,the buttons are rusted,damaged on buttons missing"
B09PJMQ24C,negative,used product,1192,381,6,"i ordered new product but i got used product,this is a used product,product looks like used,look like old used bag,the material used and the design is not good"
B09VZ8GP4V,negative,button is not working,138,62,1,its buttons are not attached properly
B0B18GGWX5,negative,color faded,719,222,1,button color is faded
B0B7XL9PT3,negative,size issues,29856,9059,2,"size is too small,firstly size is small as given dimensionssecondly 1 piece from the combo set is missing"
B083XZHL6H,negative,not as shown in picture,13786,4341,9,"it is not same as in the photo,it does not look like picture,not as in picture,its different from the picture,product looks different from image"
B083XZLNYK,negative,size issues,29856,9059,2,"size is too large,its to large"
B083Y1392Q,positive,looks stylish,1579,331,1,fashionable but isnt good for daily purpose
B08NYPH9FS,negative,doesn't up to mark,1526,493,1,there was 4 in no but on delivery 1 purse smallest in size was missing
B09DGMKBYZ,negative,no match,80,28,1,no like
B09N3K2ZCP,negative,color design,1103,288,5,"fed the items color,color on item,product damaged and not good look and color change,color falt,color fad"
B09VZ8GP4V,negative,doesn't up to mark,1526,493,3,"not up to the mark,not up to the mark,no"
B09XBFRDTN,negative,material is not good,6393,2458,1,poor quality
B083XZVW14,negative,compartments inside the bag,681,242,1,no pockets and compartments inside or outside
B083Y1392Q,negative,no space,48,17,1,i am not produced
B09966LHB7,negative,zip not available,320,90,1,product quality is good but inner zip not available
B09DGMKBYZ,negative,used product,1192,381,2,"use product,product is used and look old"
B09N3K2ZCP,positive,good style,206,56,1,it also have attractive look
B083XZLNYK,negative,looks old,2185,529,1,old and damage product received
B083Y1CZCL,positive,leather quality,910,167,1,totally leather
B08QL6VK6H,negative,please dont purchase this bag,30,5,1,i recommend not to buy this bag
B09DGMKBYZ,negative,product has stains,670,213,1,has a paint stain on one of the bags
B09DX9H63B,negative,product doesn't look good,9218,3091,2,"not good,not good"
B09N3K2ZCP,negative,damaged packaging,120,58,2,"both product and shipping box damaged,both product and shipping box damaged"
B09N3K2ZCP,negative,one pocket,179,86,3,"only one compartment in all the bags / pouches,there is no combo inside only 1 bag is available,hand purse not like only one zipper in big bag"
B09N3K2ZCP,negative,rough material,120,39,2,"it has very rough finishing,broken chain cheap material small item rough work not stitched well poor quality"
B09N3LZYHF,positive,looks good in picture,304,83,1,it looks big and nice in the photos but in reality its very small
B0B188SMH3,negative,purse design,168,68,1,material is very bad
B0B188SMH3,positive,value for money,8601,2240,1,value for money
B0B18GGWX5,negative,bag size is not comfortable,167,42,1,size small sling bag is not proper
B083XZK6RJ,negative,doesn't up to mark,1526,493,13,"it was not up to mark,its not up to the mark,not up to the mark,didnt except this,but not up to the mark"
B083Y19MMJ,negative,not leather,403,109,4,"this is not leather,it is not leather,color is not blue,not same as the photo it is different and it is not blue"
B083Y1CZCL,negative,not comfortable,1451,603,1,not fit on me
B08NYMRBYY,negative,zip quality,1317,457,2,"poor material and zip issue,zips quality not good and no big zip on the main bag"
B09N3K2ZCP,positive,awesome combo,31,11,1,good
B09N3K2ZCP,positive,shown in picture,2120,456,6,"as shown in picture,product is as same as in website,product was as shown in photo,one small purse is not there as shown in pictures,quality is not good and as per picture"
B07P66YQ3L,negative,leather quality,869,295,5,"the quality of pu leather is pathetic it may not last for a week too,low quality leather used,leather quality very bad,the bag was totally different color leather was not as shown in the pictures very low quality leather,leather quality is not good its tearing material used is not appropriate medium size purse is ok but both clutch and big size purse is not in a good condition"
B083XZK6RJ,positive,easy to carry,363,68,2,"combo pack of these 4 bags are simply superb and these made me carry my things with extra comfort loved the product,easy to carry"
B08NYMRBYY,negative,thin material,211,59,1,this bag quality is very bad also the strips and all very thin
B08QL6VK6H,negative,torn from inside,182,65,1,product was torn inside and package was damaged
B09N3K2ZCP,negative,bag size is not comfortable,167,42,2,"also the smaller bag did not have a handle as mentioned,main bag is not big enough to be tote bag"
B09PJMM2XM,positive,shown in picture,2120,456,1,the product is very good and looks are very nice
B09PJMQ24C,negative,no inner lining,398,138,1,not sale
B09VZ8GP4V,negative,no tag,303,103,1,poor quality and no tags available
B0B7XM5L2N,negative,size issues,29856,9059,1,in small bag button not working big bag very heavy
B07P66YQ3L,negative,color design,1103,288,2,"the color and finishing are different,worth for money but color and design is little change"
B09N3K2ZCP,negative,dirty product,1108,235,15,"product is very dirty and unstitched many place,product with dirty and not look as in picture,product is dirty,one of the bag is a little dirty,dirty one"
B09PJMQ24C,negative,size mentioned,348,104,1,size
B09VZ8GP4V,negative,black stains on bag,551,188,3,"it is not as shown in the pictures inside of bag was blue but in picture it was black,i expect black"
B09DGMKBYZ,negative,size issues,29856,9059,19,"size is small in despite of this picture,small size and poor quality,size is too small,too small size,its too small"
B09DGP2H52,negative,bag has only one zip,189,73,1,purses has only one pocket only
B09HSCK9K5,negative,stitching is not proper,2636,1043,3,"too bad stitching and quality also,bad stitching poor quality slightly damaged,cheap quality very bad stitching"
B09N3LZYHF,negative,color is different from pic,597,213,3,"also the color is not as in the picture,its different colour received,color issues"
B07P66YQ3L,negative,zip inside the bag,239,113,1,no zip in sling bag
B083XZLNYK,negative,product doesn't look good,9218,3091,3,"does not look good,not good"
B083XZLNYK,negative,waste of money,3228,903,2,"better price available,this is low quality product please i want cash back"
B08QL6VK6H,negative,one compartment,229,92,1,there is only one compartment
B08S2TRL5L,negative,size issues,29856,9059,33,"item s too small in size,quality is not good and size s too small,size is too small as comparative my requirement,poor quality and smaller sizes as compared to the images shown,the size is small as compared to the image shown"
B08T7BDMZM,negative,color not good,3789,1225,8,"color is not good,damaged products color is not good,different color poor quality,i did not like the color as it does not match the description exactly,color not satisfied"
B09N3K2ZCP,negative,bad quality,6425,2142,140,"not good product and quality not liked,its quality is not so good and its does not look good,product has some dots of dusty thing and quality is not good,quality is not good and as per picture,the quality is not good"
B09N3LZYHF,negative,strap is coming off,60,28,2,"mark of strap and peeling of also,strap color is spread"
B09PJMM2XM,negative,not as shown in picture,13786,4341,18,"it doesnt look like as picture item,not same as appeared in picture,its so different from shown image,product is not as it was in image,not like this"
B09PJMM2XM,positive,looks nice,6968,1539,2,"like all the combo,good"
B0B7BCZ67B,negative,bad quality,6425,2142,1,not good quality
B0B7XN8MJT,negative,not match the style,1073,474,1,not looking good
B07BH3R4MM,negative,size issues,29856,9059,2,"it is very small,size or large"
B07P66YQ3L,negative,no tag,303,103,1,material is not good and no invoice received
B083Y1392Q,negative,product doesn't look good,9218,3091,31,"not looking good not looking good not good not good,does not look good for me,does not look good not comfortable,does not look good on me,it is not looking good"
B083Y1F9B2,negative,material is not good,6393,2458,5,"material is not good,material is not at all good and also not suitable for regular purposes its waste of money,bad material,product is different from what i got and material is not at all good and its such a waste of money,material quality is very poor and smell of pu leather"
B08NYMRBYY,negative,old bag,695,185,2,"look like old used bag,looks like old bag disappointed"
B09DXC8HSL,negative,not as shown in picture,13786,4341,1,theyre not complete
B09N3K2ZCP,negative,zip is not closing,124,42,5,"items are coming out of the bag as zips are not fully stitched till the end of the bag,the zip is also not closing entire opening of the main big bad,apart from this there is no proper zip facility,zip not closing the bag completely"
B09N3K2ZCP,positive,good design,651,116,2,"i like design and used material but i not happy with finishing of the product,i like this bag too much coz it has a good look and beautiful design"
B09N3LZYHF,negative,looks like old stock,208,44,1,seems like old stock
B09XBFBS2D,negative,not as shown in picture,13786,4341,2,"order no 406 - - 3573942i item doesnt match website descirptionr return on refund,received different hand bag"
B0B7XJHFXJ,negative,no safety,114,38,1,not interested
