ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B07MY2FGH2,negative,stitching is not proper,2146,553,1,the bag is torn from inside and the outside stitching is not in a straight line and lots of marks on the front and back of the bag
B07RWQJ3ZT,negative,zip quality,1076,247,1,2 zips are failed worst item
B0824QS5D8,negative,not comfortable,621,160,1,not comfortable for me
B09Q1G7BT2,negative,not as shown in picture,10280,1970,2,"doesnt look as good as the picture,does not look same as picture color looks little dull then picture"
B09Q1JVKQW,positive,excited to receive this product,405,104,1,thanks loved it
B09W2JLNBY,negative,torned material,959,241,1,the skin of the purse is rugged and torn off
B07DT1ZGQ7,positive,looks smart,227,50,2,"looks smart,look wise is good but quality of bag is bad zip is very bad"
B0824QS5D8,negative,bad smell,664,152,2,"the worst quality it smells too bad,this products stinks a lot"
B09Q1DBMM6,negative,small dent,323,85,2,"small in size and quality too not good,small size"
B09Q1GYYVY,negative,torn near zip,87,22,1,item is damaged has scratch marks and corner is also torn
B0B464X5MJ,negative,size issues,21476,3691,6,"size is very small dont like this product,size is too small,i wanted a small purse,one hand bag is good but second hand bag strap chain is small,it larger than my expectations"
B083XZYY9H,negative,looks so simple,234,68,1,simple item with normal price
B08NYPH9FS,negative,product not matching,252,64,1,product doesnt meet expectations quality issue
B0999K5S3P,negative,chain is broken,511,70,1,chain broken
B09Q1DBMM6,negative,product doesn't look good,8306,1788,1,not good
B09Q1F3WWH,negative,white color bag,302,52,1,looks used already and there is black thread work at a side and another side white
B09Q1FX34C,negative,stitching is not proper,2146,553,1,the opener and buckle at the top of bag looks shabby and used not liking the quality of that
B09Q1FYRHD,negative,buckle is broken,142,45,1,chain strap is broken
B07BVKZXCV,negative,bad finishing,1129,297,3,"finishing not good and has lil damage and not worth the price,finishing not good,the bag is kind of stiff and not have good finish"
B07DSY697V,negative,product doesn't look good,8306,1788,2,"not good,not received"
B07R7LLV77,negative,bag handle,255,44,2,"damage on handle of the bag,bag handle damage"
B07SWVK36G,negative,color not good,3861,866,2,color
B07X9D9M6W,negative,looks old,3077,592,1,old item scratchy too small
B081L5TJLQ,negative,not as shown in picture,10280,1970,1,poor quality not look like amazon image
B083Y1XPMM,negative,marks on product,167,37,2,"material has some marks,product quality is not good and it folded very badly and there is fold marks on front"
B09M9YDVF4,negative,quality not worth,464,137,1,poot quality
B07K5VMPJG,negative,size is not fit,3432,821,1,size and shape of not good at all
B07KSH25Q4,negative,not comfortable,621,160,1,not that impressed looks cute but is not that comfortable
B07MY2FGH2,negative,bad quality,4794,893,2,"not good quality,color mismatch and quality also not good"
B07RZ8KZS9,negative,leather quality,632,140,2,"leatherlite material is poor,leather quality is cheap"
B07S19V9Z3,negative,not as shown in picture,10280,1970,2,"quality is not as shown in the pic,color material and style is different than amazon images"
B09M9ZGYBF,negative,quality not worth,464,137,2,"quality not good and no tag on the product,quality not good"
B09Q1DT2RW,negative,doesn't fit properly,1545,527,3,"item not as expected was not satisfied and does not look good,not look good,not look good"
B0BN6DD5Z6,negative,light color,354,90,1,there is no butterfly as mentioned in the pic and color is also lighter
B07BVKZXCV,positive,good design,701,127,1,it has fantastic design and great quality for the price
B07DBBTW4F,positive,looks good from outside,152,54,1,quality is ok but not great outside material is good but the inner lining cloth is of very bad quality
B07Q3GTJSY,negative,color not good,3861,866,1,color
B083Y1XPMM,negative,used product,992,242,2,"looking like used product,fold on bag like its used and defective old"
B0999J95YQ,positive,looks nice,7013,969,1,it looks so chic and pretty
B09M9ZGYBF,negative,size is not fit,3432,821,3,"size issue,size fit issues and color,reported size issue"
B09MB1ZFFN,negative,material is not good,4433,960,2,"i dont like the material,material is poor"
B09Q1FYRHD,negative,material is not good,4433,960,3,"material not good,not of good quality,poor material quality"
B07DT1ZGQ7,negative,damaged stitching,198,45,1,some stitching damage found in lower left side
B07KS5YC8P,positive,looks nice,7013,969,1,nice
B07LDS28Y4,negative,product doesn't look good,8306,1788,1,not good
B07LDS28Y4,positive,given stars,49,3,1,only star is look beautiful
B07MMG3QBQ,positive,material quality,1741,257,1,material is nice
B07NC7PT4Z,negative,looks old,3077,592,1,i got old purse disappointed
B09Q1F3WWH,negative,heavy weight product,574,147,1,broad structure
B09Q1FX34C,positive,shown in picture,2895,503,3,"a bag is same as shown in image here,the chain of the bag is not of gold color but is rose gold and the clasp at the front which is shown in the picture is not there,awesome looks"
B09Q1GYYVY,negative,small dent,323,85,2,"its to small and looking flap,looks very small"
B09Q1JVKQW,negative,product doesn't look good,8306,1788,3,"not good,not good,not good"
B07RKHYVMC,positive,good zip,358,58,1,zipper is great belt is also great
B083Y1XPMM,negative,chain quality,276,50,3,"there is only single chain in every purse,it only contain 1 chain in every purse,zip was not provided to small sling bag and zip size of big bag was very small and wide open on both sides of chain"
B09MB2NP9R,negative,color faded,811,167,1,looks old color faded
B0BN6DD5Z6,negative,not interested in this product,404,113,1,i dont like
B0BRKX4JN5,negative,product not as displayed,120,30,1,product doesnt look as shown from the photo
B07C6GZF1K,negative,size issues,21476,3691,1,size is too small
B081L5TJLQ,negative,color not good,3861,866,1,color
B09HTYRYLX,negative,color not good,3861,866,1,the color and design is also very pretty and exactly same as shown in the picture
B0B464X5MJ,negative,product doesn't look good,8306,1788,12,"does not look good,dose not look good,not good,not good,not good"
B07DT1ZGQ7,negative,adjustable strap,329,77,2,"strap was not given,without strap"
B07DT1ZGQ7,negative,stitching is coming,423,109,2,"the stitching comes out at places,product is good but stitching is"
B0824QS5D8,negative,bag zip does not cover,52,12,1,the zip does not serve the purpose of bag being closed the bag remains open from the side even after zip closed
B0824QS5D8,negative,strap is broken,569,170,1,zipper is damaged in one of the hand bags
B082RDZZJ1,positive,shown in picture,2895,503,1,however the product is same as the image
B083XZYY9H,negative,material is not good,4433,960,43,"its not a good material and not have anyzip to secure,item show image good but real item not good material,these item does not good,this item is not good,material is not good stiches not good some border stiches has not been done its open bad quality"
B09Q1F3WWH,negative,stitching is coming,423,109,1,stitching issue
B0B464X5MJ,negative,doesn't fit properly,1545,527,8,"does not look good,does not look good,does not look good,does not look good,not look good"
B07G4G2LW8,positive,value for money,7369,1266,1,good as per price
B07P41S5PV,negative,not as shown in picture,10280,1970,1,not as per the picture and quality is also not good
B07S3JQ6FT,negative,zip is not working,1508,318,1,zip is defective without use
B07X9D9M6W,negative,only pocket is there,119,19,1,it has single pocket
B07KSH25Q4,negative,bad quality,4794,893,3,"not as expected quality not good,quality is not good,not good quality"
B083XZYY9H,negative,bad finishing,1129,297,5,"poor quality and slight damage finish is not good,not good material and finishing,finishing and material quality isnt good,very poor quality,poor quality"
B09HTYRYLX,positive,value for money,7369,1266,6,"its the complete value for money and looks very pretty,seriously awesome according to its price,very good value for money,value for money"
B09Q1DBMM6,negative,less space,275,68,1,space is not enough
B09Q1GYYVY,positive,shown in picture,2895,503,2,"it is exactly as shown in the image,outstanding"
B09Q1JMT13,negative,scratches on product,795,223,1,the product has a stain or some kind of scratches
B07BVB69N1,negative,stitching is not proper,2146,553,1,the stitching is very bad the threads are all coming out
B07DT1ZGQ7,negative,bad smell,664,152,4,"torn from inside and smelling bad not up to the mark quality,not as i expected and bad smell is coming from the product,bad smell too,bad smell from purse"
B07MY5W6KT,positive,value for money,7369,1266,1,reasonable cost against an attractive item
B083Y1XPMM,negative,material is not good,4433,960,23,"material is not good n damaged also,quality of material is not good,material quality is not good,i think material is not good,material is not good"
B09HTYRYLX,negative,lock of bag,91,39,3,"the purse lock is damaged,bag lock is broken,very bad material broken lock"
B09Q1GYYVY,negative,scratch marks,178,62,1,item is damaged has scratch marks and corner is also torn
B09Q1HN2B2,positive,good condition,329,103,1,to good
B0BGFR5F3M,negative,short strap,268,62,1,small handle
B07BVB69N1,negative,size issues,21476,3691,1,product too small
B07CYZC1YQ,negative,size issues,21476,3691,3,"small in size,small compared to pic,small than expected"
B07DSZ3GDS,negative,size issues,21476,3691,3,"item have quality issues and small in the size,small bag and can be used only for very small items,to small and products material is cheap"
B07KSGPXGB,negative,size issues,21476,3691,3,"the product is defective also the size is very small,its too small very bad,the item too small carry such important things"
B07RPZB7MY,negative,fake product,1547,387,1,original product is not what shown in picture
B08NYPH9FS,negative,leather is coming off,190,49,1,leather is having folding marks marks on it
B09G6XVLFL,negative,product has stains,850,197,3,"used product received and there are stains on bag,item is stained from front side it is spoiling the look of bag,stain is there no brand tag on it"
B09HTYRYLX,negative,waste of money,3189,599,3,"very bad quality totally waste of money,not worth the money paid behind it,cheap quality and the price is too high"
B09Q1DT2RW,negative,scratches on product,795,223,1,it is having scratches
B0B464X5MJ,positive,looks stylish,1933,330,2,"looks so classy and decent,classy looks"
B0BRG8L4F8,negative,broken item,238,58,1,logo is broken and quality is not good
B07LDS28Y4,negative,bad finishing,1129,297,1,finishing is not good
B09HTYRYLX,negative,bad finishing,1129,297,5,"its quality and finishing is not good,finishing of product is very bad,finishing not good,poor quality,the product finishing is not good the leather is chipping off from the slides of the bag"
B09HTYRYLX,negative,strap is not good,543,175,1,material is not good lock is coming out strap is also not good
B09Q1DBMM6,negative,doesn't fit properly,1545,527,2,"does not look good,does not look good"
B07KSGPXGB,negative,waste of money,3189,599,1,the product quality was way below expectation and not at all value for money
B07P8Q2311,negative,black color,1237,175,1,we have ordered black beige color we have received blue black color
B083XZYY9H,negative,torned material,959,241,3,"it looks torn,it has lines all over it as well as scratched and torn from various sides,its torn"
B0C3RD6F92,negative,bad quality,4794,893,2,"quality was not good,not good quality"
B07LDRT4LK,negative,material is not good,4433,960,1,bad materials
B09M9ZGYBF,negative,bad finishing,1129,297,2,"quality is not up to mark,quality is not up to the mark"
B09Q1G7BT2,positive,material quality,1741,257,1,it was good material was provided reach look
B07DT1ZGQ7,negative,broken item,238,58,1,insisted chain quality is poor and broken too
B07MJC7FFH,negative,button is not working,185,32,1,the zip inside the bag is broken and the closing button isnt fixed
B083Y1XPMM,negative,chain inside the bag,35,8,2,"there is only one chain inside,there is no partition chain inside this"
B09Q1FX34C,negative,belt is not good,291,72,1,its way too big and the string is not long enough for sling purposes
B09Q1JVKQW,negative,doesn't fit properly,1545,527,1,not look good
B0BN6DD5Z6,negative,material is not good,4433,960,6,"material is not good,inner material is poor of poor quality,very bad quality material,poor material quality,poor material quality"
B09Q1DRFQ8,negative,lock is broken,238,85,1,damage lock
B0BGFR4NPZ,negative,not interested in this product,404,113,1,i dont like
B07BVKZXCV,positive,good pockets,208,31,1,it has multiple pockets with great space for daily usage
B07MY2FGH2,negative,black stains on bag,313,74,1,the actual look of the purse does not match and there are some black spots too on the purse
B083Y1XPMM,negative,button is not working,185,32,1,over stitch is there button is not correct
B0999J95YQ,negative,bad quality,4794,893,2,"quality not good,quality is not great but the bag looks good"
B09M9YDVF4,negative,stitching is loose,56,15,1,stitched from corner
B0B464X5MJ,negative,inside damage,101,28,2,"the inside is just ugh,the hand bag is beautiful but when i open it was torn and damaged inside"
B0B464X5MJ,negative,scratches on product,795,223,2,"scratches on item and low quality,the lock is scratch and one of the corner end is scratched"
B0BTHXJ8LQ,negative,expected better quality product,259,60,1,looked much better in images
B07LDT337F,positive,looks nice,7013,969,2,nice
B07P41S5PV,positive,value for money,7369,1266,2,very nice product the quality is a little bit cheap but over all value for money
B07RKHYVMC,positive,easy to carry,474,80,1,easy to carry
B09HTYRYLX,negative,leather quality,632,140,1,the bag is of not a good quality the leather is not good quality
B09M9YL9WG,negative,looks like used,725,151,2,"looks used,seems used and poor quality"
B09M9YL9WG,negative,strap is not good,543,175,1,product not useful strap very and low quality
B09M9ZGYBF,negative,zip quality,1076,247,2,"inner zip quality is bad,bad material and zip"
B07BVKZXCV,negative,bad smell,664,152,1,the bag is stinking a lot
B07DT1ZGQ7,negative,stitching is not proper,2146,553,17,"dont like the quality stitching coming out not good,it has this white stitching which doesnt look good,on sling somewhere stitching was not in good condition,material and stitch not not very appealing,we would like to return the fargo modle pu leather womens and girls bag due to stitches was not proper and the same was damaged"
B07KSFW8ZM,positive,stylish bag,988,256,1,this bag is stylish nice but it is smaller than i expectation
B07MY5SBVT,negative,used product,992,242,1,used product i received and the color of the product is different
B07P7P4ZSR,positive,value for money,7369,1266,1,great product worth to buy
B07RKHYVMC,negative,local product,138,24,1,different item received same design but local
B07X9D9M6W,negative,size issues,21476,3691,3,"old item scratchy too small,size is small,small but ok"
B082RDZZJ1,negative,not comfortable,621,160,1,not feeling comfort while using
B09M9ZGYBF,negative,not interested in this product,404,113,2,"i dont want this,didnt like"
B0BRG8L4F8,negative,size issues,21476,3691,1,also looking small in size and not satisfied with the product
B07RWQJ3ZT,negative,looks old,3077,592,1,looks old
B0824QS5D8,negative,dull color,1714,352,1,color is so dull
B09DXC2X7F,negative,material is not good,4433,960,2,"material was not good color also fade stretching was not properly,quality of material is not good inner cover is bit torn"
B09G6XVLFL,negative,zip is not working,1508,318,1,the zip compartment is not at all useful and because of that i am returning it
B09M9YL9WG,negative,size is not fit,3432,821,3,"size is not fit,size not good,size issue"
B09M9ZGYBF,negative,product not branded,64,21,1,product has no label
B09Q1G7BT2,negative,color not good,3861,866,1,color is not as expected
B0B464X5MJ,negative,lock is not working,371,115,3,"lock is not proper and the bag is not proper shape,bag lock not working,the lock of the bag is stuck at its position and requires a lot of effort to open it"
B07CYZC1YQ,negative,zip is getting stuck,49,11,1,quality of product is not good and his zip is junked and look like very old product
B07DT1ZGQ7,negative,scratches on product,795,223,2,"it has scratches on the front side of bag and the quality is very cheap,scratches"
B07KN4JJKV,negative,useless for purpose,1464,283,1,not worth it at all
B07KSGPXGB,negative,bad smell,664,152,1,it smell very bad
B07MY2FGH2,negative,used product,992,242,1,looks like a used bag
B081L68ST3,negative,small hole in bag,115,31,1,it has small cut on it and skin of the bag is not proper at few places
B083XZYY9H,negative,fake product,1547,387,2,"its fake,duplicate order"
B083Y1XPMM,positive,looks nice,7013,969,7,"overall nice and good quality,very nice,good looking but poor quality,nice,too nice and soft value of price combo of 3"
B09HTYRYLX,negative,handle is broken,481,111,1,broken hook
B09M9YL9WG,negative,torned material,959,241,1,it is torned from various spots
B0BGFR4NPZ,negative,color faded,811,167,1,product looks old and fade in color with stiches issue
B07DBBTW4F,negative,cracked material,44,8,1,it has developed cracks and cuts at the corners
B07NYXMM7M,negative,waste of money,3189,599,1,waste of money
B083XZYY9H,negative,small hole in bag,115,31,1,the biggest bag has a small hole near the main zipper area
B09M9ZGYBF,negative,small hole in bag,115,31,1,its have small strip the pendent is not exactly seems as they show in the picture
B09Q1DRFQ8,negative,not sturdy,482,105,2,"i dont like shape,the purse is flimsy and not sturdy at all"
B09Q1FX34C,negative,lock is broken,238,85,1,the lock is broken
B09Q1GYYVY,positive,mobile and money,443,152,1,value for money
B07KSH25Q4,negative,torned material,959,241,1,the starts are already broken and the clip inside is so sharp that if any material is placed it gets torn
B07LDRT4LK,negative,cut mark,178,48,1,cut on back
B07RKHYVMC,negative,bad quality,4794,893,4,"style and quality is not good,quality is not good,quality isnt satisfactory"
B07X89CWXP,negative,size issues,21476,3691,1,small size
B09Q1DRFQ8,negative,no tag,247,53,1,no tags were there in the product
B09Q1FX34C,negative,doesn't fit properly,1545,527,1,does not look good
B09Q1FYRHD,negative,gold color,84,16,2,"the gold accent was all losing color and turning black,the gold accent looks faded and is becoming black"
B0B464X5MJ,negative,golden color,73,14,1,the main lock turning knob golden colored is broken
B0B464X5MJ,negative,product not branded,64,21,1,i - failed but no pickup attemptr -
B07BVB69N1,negative,product doesn't look good,8306,1788,2,"am sorry had a different color in mind and style does not suit me,not good and not finishing"
B07CYZC1YQ,positive,value for money,7369,1266,3,"it is good for the discounted price i got it for,very pretty value for money,fine quality for this price"
B07DT1ZGQ7,negative,leather quality,632,140,5,"its not look good on me and the leather is also not so good,bad smell of leather coming,leather quality not good,the quality of this product is very cheap and the leather is not as good and its a defective piece to so please i recommend not to buy this"
B07DT1ZGQ7,negative,material not as shown,143,30,2,"item is not up to standard,material is not up to mark"
B07G63DC9Q,negative,bad quality,4794,893,2,"it not good quality,not of good quality"
B07P53XRFQ,negative,color faded,811,167,1,color is remove easily
B083XZYY9H,negative,leather quality,632,140,6,"leather quality is not so g od,looking not good an leather quality not good that,chain straps are very poor quality and leather is so poor quality,leather quality is not good,leather is not good"
B09Q1DBMM6,negative,material is not good,4433,960,2,"material is not good,poor material quality"
B09Q1F3WWH,negative,bag is torn,1189,285,5,"the bag is torn from side and the bag structure has been changed,the bag is torned and the color is faded,the bag is torn from one side and also looks old,torn product i get,the product is torn from the side and looks old"
B09Q1GYYVY,negative,size issues,21476,3691,6,"way too small in reality,size is too small according to my need,size is too small,size is too small,its too small"
B09Q1JVKQW,negative,looks old,3077,592,1,looking old
B09Q1JVKQW,positive,fresh piece,34,5,1,need fresh piece
B0B464X5MJ,negative,color not good,3861,866,1,not good very bad quality color fad
B07DBBTW4F,positive,good finish,387,67,1,the finish and stitching is not of good quality
B07DT1ZGQ7,negative,zip is getting stuck,49,11,1,broken and non functional zip
B083Y1XPMM,negative,size is not fit,3432,821,3,"size not good,zip does not bind well and size issue,size problem"
B07KNS2ZW7,negative,waste of money,3189,599,1,dont waste your money
B07X89CWXP,negative,product doesn't look good,8306,1788,2,"its not good looking also,not good"
B0824QS5D8,negative,bad quality,4794,893,4,"quality is not good,quality is not so good,quality not good,nice bag but quality is not good"
B083XZYY9H,negative,bad smell,664,152,5,"the material is not good and the product smells bad,material and finishing is not good and the bag smells very bad,the material has unusual smell and it is already wrinkled,stinking too much and large bag has crack on it,very smelly"
B083XZYY9H,positive,good pockets,208,31,1,should be little big and with pockets as well
B083Y1XPMM,negative,no tag,247,53,1,it didnt have any tag s user manual or warranty card attached to it
B083Y1XPMM,negative,shape is not good,362,120,2,"shape not good,doesnt look good"
B083Y1XPMM,negative,zip pocket,146,37,4,"their is no zip lock in it,no zip or i thermal pouches,bag has no zip and compartments,too thin no zips in the smallest bag"
B07DC9N52D,positive,leather quality,665,76,1,good leather
B07DT1ZGQ7,positive,good comfortable,460,70,2,"quality of the product is also very nice n smooth,good one comfortable light weight"
B07DT1ZGQ7,positive,looks sturdy,361,73,1,simple design sturdy
B07J2NZKL3,negative,not as shown in picture,10280,1970,1,quality as shown in the picture and what arrived isnt the same
B07MY5VPCV,negative,inside damage,101,28,1,purse damaged from inside
B083XZYY9H,positive,looks genuine,30,6,1,standard beautiful but theres only singh chain inside bag
B09Q1FX34C,negative,small belt,937,252,2,"small size,small"
B0B464X5MJ,negative,scratch marks,178,62,1,scratches on item
B0B464X5MJ,negative,strap is not good,543,175,1,the bag in cheap but its very low in quality the strap / metal chain has discoloration and scratches
B0C3RD6F92,negative,not as shown in picture,10280,1970,2,"item is not of the same quality and comfort as expected,very bad quality of bag picture shows something and receive something else"
B07KSJ1TW5,negative,color not good,3861,866,1,worst quality and color shaded
B07KSJ1TW5,negative,product doesn't look good,8306,1788,1,this not good
B07P7P4ZSR,negative,size is not fit,3432,821,1,nice but i am not satisfied with size
B07RZ8KZS9,negative,size issues,21476,3691,9,"not like expected one and size is very small,size is too small,its too small,size is small,the bag size is very small"
B07RZ8KZS9,negative,zip is not working,1508,318,2,"quality below expectation zip not good,zipper is not working"
B082RDZZJ1,negative,zip quality,1076,247,1,after zipping either sides of the bag are kept too open
B083Y1XPMM,negative,doesn't suit,582,161,3,"it is not suitability for us,doesnt suit me,it doesnt suits for me and color not exact"
B0999K5S3P,negative,hard material,319,89,1,the material isnso hard and sometimes it is hard to close the bag
B09HKG54KC,negative,cut mark,178,48,1,cut in bottom side
B0BN6DD5Z6,negative,dust on bag,247,39,1,the bag looks like an old and used product with dust and marks on the bag
B0BRKX4JN5,negative,doesn't fit properly,1545,527,1,not at all looking good
B07MY5VPCV,negative,waste of money,3189,599,1,not worth buying it
B07NVQ635R,negative,color not good,3861,866,1,product looks decent but color not satisfied
B07R7LLV77,negative,looks like used,725,151,1,looks used the metal tags are rusted
B07RVD3NTZ,negative,fake product,1547,387,1,not original product as shown
B083XZYY9H,negative,used product,992,242,2,"looks like used bag,the product looked as if been used the chain was broken and was inside the bag"
B09M9YDVF4,negative,used product,992,242,1,the color is not as shown plus also the structure is weird looks like a used bag
B09Q1FX34C,negative,material is not good,4433,960,2,"material not good,i didnt like the material"
B09Q1JMT13,negative,white color bag,302,52,1,spots on white
B0B464X5MJ,negative,design is not good,419,126,1,i didnt liked the quality
B0BGFR4NPZ,negative,belt is not good,291,72,1,belt is not good enough
B07BVB69N1,negative,useless for purpose,1464,283,1,its not graceful as shown in picture not worth it at all
B07CG1WCLM,negative,defective color,100,18,1,received original as well as replacement item in wrong color
B07CG1YVH4,negative,size issues,21476,3691,2,"low quality and too small in size,the size is much bigger than a normal side sling"
B07K5VMPJG,positive,looks nice,7013,969,4,"its very beautiful and use ful,looks good but quality is poor,nice"
B07R6HNVPN,positive,looks nice,7013,969,1,nice
B083XZYY9H,negative,no inner partition,68,21,1,no adjustments for hangers
B083XZYY9H,negative,zip is small,63,4,2,"zip is too small and side open is too large it is unsafe to carry,the zip is too small from the big one"
B08B5CP6FK,negative,stitching is not proper,2146,553,1,material poor quality and stitching very coarse
B09Q1DT2RW,negative,tag not available,80,21,1,tag is not available in the parcel
B09Q1FYRHD,positive,looks nice,7013,969,1,its nice
B0B464X5MJ,negative,leather is torn,420,69,6,"the leather is also torn from inside,the leather is torn and handle is scratched,leather i / s damage,the leather is torn from a side also their is a stain of pink color of some sorts on the purse,the leather is torn and handle is not in good shape"
B0B464X5MJ,positive,looks neat,45,10,1,looks very decent and stylish at the same time enough space for phone and other makeup stuff
B07CYZC1YQ,positive,looks nice,7013,969,1,i am using it right now and its really looks good and match with almost all dresses
B07DT1ZGQ7,positive,nice and spacious,1492,229,3,"the product was good quality and spacious enough,v nice and spacious,the bag is more spacious than it looks in the picture and quality of product is also good"
B07R7LLV77,negative,zip is getting stuck,49,11,1,zip are stuck
B082RDZZJ1,negative,small pockets,231,56,1,by extra zips i am not referring the partition small compartments where we can place our money / cards
B083XZYY9H,negative,doesn't suit,582,161,3,"its doesnt suit me,no choice,main bag zip style doesnt good and not suitable for me"
B083Y1XPMM,negative,belt is broken,405,103,1,hanging belt is damaged
B09DXC2X7F,negative,bag without belt,41,14,1,i received a damaged and torn hand bag with no sling attached
B09Q1F3WWH,negative,yellow stains,124,15,1,yellow stains along with torn from one area
B0B464X5MJ,negative,stitching is coming,423,109,2,"inside stitched roughly,poor quality stitching issue"
B0B464X5MJ,positive,can accommodate phone,26,5,1,looks very decent and stylish at the same time enough space for phone and other makeup stuff
B0999K5S3P,negative,used product,992,242,1,color is fully faded and used product
B09Q1DBMM6,negative,not open,56,14,1,impossible to ever close it
B09Q1F3WWH,negative,color faded,811,167,1,the bag is torned and the color is faded
B07J2NZKL3,positive,small sling bag,305,54,1,nice for small bag
B09G6XVLFL,negative,used product,992,242,1,used product received and there are stains on bag
B09M9ZGYBF,negative,not a genuine product,312,92,1,not good products
B09Q1F3WWH,negative,chain is not working,645,116,1,the bag chain is not looking good
B07BVKZXCV,negative,size issues,21476,3691,4,"very small,expected small,product is damaged and is bigger than expected"
B07DSY697V,negative,tag not available,80,21,1,product doesnt meet expectations and price tag and company tag not available this product so pickup this product
B07MJC7FFH,negative,size issues,21476,3691,1,the zip was broken inside and it was smaller than we assume from the picture
B07NVNDJVQ,negative,looks like old stock,211,35,1,it seems to be old stock
B07NYXMM7M,negative,no tag,247,53,1,it does not have any tag or manual
B07R6HNVPN,negative,material is not good,4433,960,2,"material quality is bad,fabric not good"
B07RKHYVMC,positive,good pockets,208,31,1,the pockets are also good enough to keep the mobile
B09Q1FX34C,negative,quality not worth,464,137,1,quality is not good as shown in the picture
B09Q1GYYVY,negative,bad quality,4794,893,1,not good quality
B0BGFR849K,negative,strap is broken,569,170,2,"strap is damaged,product strap damage"
B07BVNMPK9,negative,black color,1237,175,1,used black color bag received by
B07MQFK89D,negative,bad quality,4794,893,2,"not a good quality at all,quality not good"
B07NLJBWZD,negative,sling is not adjustable,120,30,1,product is too dirty little damaged sling is not available
B083XZYY9H,negative,dull color,1714,352,4,"bag corners are not properly stitched and color is dull and size is small,bad quality product with dull color scratch marks on some places,but chain quality very bad and 1st bad good second one not bad but shapeless plain 3rd one chain quality bad"
B09MB1ZFFN,negative,looks old,3077,592,1,hand bag is used one or very old piece
B09MB1ZFFN,negative,quality not worth,464,137,1,quality not good
B09Q1DBMM6,negative,looks worn,253,60,2,"the product is worn - out,its worn out"
B09Q1DT2RW,negative,used product,992,242,1,already a used product and damaged in the backward side
B0BGFR849K,negative,size issues,21476,3691,3,"too small not according to the image,size is very small,size too small"
B0BGFR849K,positive,holds lot of things,71,16,1,also many things can go in i carry charger earphones 3 daily creams lipstick socks cell phone hair bands clicker and a wallet in it
B07DSZ3GDS,negative,zip is broken,938,167,1,zip of the sling bag is broken
B07DT1ZGQ7,negative,doesn't fit properly,1545,527,2,"it does not fit me,not working smoothly"
B07KSH25Q4,positive,looks nice,7013,969,3,"nice look,not same as shown in the picture but it was very nice,not that impressed looks cute but is not that comfortable"
B07MY5XFD1,negative,not as shown in picture,10280,1970,1,item doesnt match website description
B07R7LLV77,negative,not as shown in picture,10280,1970,1,item doesnt match website description
B09HKG54KC,negative,material is not good,4433,960,1,material quality not up to the mark
B09HTYRYLX,positive,good durable,451,93,1,this bag looks sturdy and classy
B09Q1FYRHD,negative,looks old,3077,592,2,"had to return - looks old,looks old"
B09Q1GYYVY,negative,fungus on bag,36,2,1,fungus is present on one side fully
B0B464X5MJ,negative,useless for purpose,1464,283,2,"not good,not good"
B07DT1ZGQ7,negative,not leather,624,116,1,this is not a fargo bag
B07MY2FGH2,negative,bag is torn,1189,285,1,the bag is torn from inside and the outside stitching is not in a straight line and lots of marks on the front and back of the bag
B07RFSKNLC,negative,color not good,3861,866,1,color
B09HTYRYLX,negative,packaging damaged,97,31,1,both product and shipping box damaged
B09Q1DT2RW,negative,not as shown in picture,10280,1970,6,"product quality is not as i look in image,the bag is not same as shown,item doesnt match website description,quality and size not up to mark,different product receives"
B09Q1DT2RW,negative,small pockets,231,56,1,its small bin size
B07RZ8KZS9,positive,material quality,1741,257,1,good quality materials
B09W2J5W3X,negative,strap is broken,569,170,1,strap damage
B07BVKZXCV,negative,stitching is not proper,2146,553,1,not yet all in a new condition it looked liked a used one bag was torn inside stitches were also not good
B07R7LLV77,negative,bad quality,4794,893,2,"quality not at par,quality not good"
B09W2JJF6Z,negative,no brand logo,453,101,1,if youre looking for a nice little sleek sling its not it
B07DSZ3GDS,negative,waste of money,3189,599,1,total waste of money
B07P154KBJ,negative,bag is torn,1189,285,1,the inner lining of the big bag is torn
B08B5CP6FK,negative,torn from inside,155,37,2,"poor quality and it was torn inside,torn inside and poor quality"
B09M9YDVF4,positive,stylish bag,988,256,1,the bag looks so classy
B07BVKZXCV,negative,bag is torn,1189,285,1,the material is swollen / tear a bit and quality is bad
B07BVKZXCV,negative,looks like hand bag,42,4,1,it is looking like a hand bag
B07MJXRFKW,negative,product doesn't look good,8306,1788,1,not recommended
B083XZYY9H,negative,leather is torn,420,69,4,"there are severe leather damage as well as the metal areas have a rusting issue,tearing of leather,leather break,leather damaged and bag quality was not good"
B09Q1DT2RW,negative,product doesn't look good,8306,1788,2,"not looking good,not looking good"
B09Q1F3WWH,negative,expected better quality product,259,60,3,"i expect better quality,product quality is also cheaper,product feel cheaper"
B09Q1GYYVY,negative,color not good,3861,866,1,did not like the color
B09Q1GYYVY,negative,plastic material,145,19,1,chain is plastic
B07BVB69N1,negative,not as shown in picture,10280,1970,2,"its not graceful as shown in picture not worth it at all,the product appeared to be different and when came it feels different"
B07DBBTW4F,negative,not as shown in picture,10280,1970,2,"poor quality not as per shown image,the stitching is white and is too much visible but was not visible in the image shown on website"
